x,evmSampleDeltaMs,logDeltaMs,DATA0_pF,DATA1_pF,DATA2_pF,DATA3_pF,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
141021,20.569499999284744,62.21519900113344,55.69011668517099,55.3330310518636,Infinity,Infinity,33734533,33843209,0,0,5.026837140321732,5.0430311262607574,0,0,
141022,20.76799999922514,62.253600999712944,55.69006055685477,55.3326124988952,Infinity,Infinity,33734550,33843337,0,0,5.0268396735191345,5.043050199747086,0,0,
141023,20.749599998816848,62.30309999920428,55.69101474977105,55.33224626894356,Infinity,Infinity,33734261,33843449,0,0,5.026796609163284,5.043066889047623,0,0,
141024,20.77119999937713,62.1894000004977,55.69006055685477,55.332929683130764,Infinity,Infinity,33734550,33843240,0,0,5.0268396735191345,5.0430357456207275,0,0,
141025,20.748100001364946,62.15290000103414,55.68969077242186,55.33219395067584,Infinity,Infinity,33734662,33843465,0,0,5.026856362819672,5.043069273233414,0,0,
141026,20.761400999501348,62.17689999938011,55.689215340705694,55.332929683130764,Infinity,Infinity,33734806,33843240,0,0,5.026877820491791,5.0430357456207275,0,0,
141027,20.984099997207522,62.432698998600245,55.69011668517099,55.33235417560505,Infinity,Infinity,33734533,33843416,0,0,5.026837140321732,5.043061971664429,0,0,
141028,15.908999999985099,54.084800001233816,55.69022233870233,55.332406494100006,Infinity,Infinity,33734501,33843400,0,0,5.0268323719501495,5.043059587478638,0,0,
141029,20.747398998588324,59.790599999949336,55.68969077242186,55.33245881266915,Infinity,Infinity,33734662,33843384,0,0,5.026856362819672,5.043057203292847,0,0,
141030,20.6739990003407,62.2292999997735,55.69064495583429,55.33251113131253,Infinity,Infinity,33734373,33843368,0,0,5.026813298463821,5.043054819107056,0,0,
141031,20.79270099848509,62.13420099951327,55.69037751787157,55.33235417560505,Infinity,Infinity,33734454,33843416,0,0,5.026825368404388,5.043061971664429,0,0,
141032,20.91139900125563,70.14179900102317,55.69011668517099,55.33219395067584,Infinity,Infinity,33734533,33843465,0,0,5.026837140321732,5.043069273233414,0,0,
141033,20.6877000015229,62.054301001131535,55.69048317214515,55.33271713669207,Infinity,Infinity,33734422,33843305,0,0,5.026820600032806,5.0430454313755035,0,0,
141034,20.916201001033187,62.299899999052286,55.69064495583429,55.33235417560505,Infinity,Infinity,33734373,33843416,0,0,5.026813298463821,5.043061971664429,0,0,
141035,20.560700999572873,62.035799998790026,55.6905393011003,55.33256018010807,Infinity,Infinity,33734405,33843353,0,0,5.026818066835403,5.043052583932877,0,0,
141036,20.694199001416564,62.27959900163114,55.69080343849904,55.33308337131856,Infinity,Infinity,33734325,33843193,0,0,5.026806145906448,5.043028742074966,0,0,
141037,20.636699998751283,62.12540099769831,55.6905393011003,55.332406494100006,Infinity,Infinity,33734405,33843400,0,0,5.026818066835403,5.043059587478638,0,0,
141038,20.590800000354648,62.241300001740456,55.69059212842972,55.33188004262784,Infinity,Infinity,33734389,33843561,0,0,5.026815682649612,5.04308357834816,0,0,
