x,evmSampleDeltaMs,logDeltaMs,DATA0_pF,DATA1_pF,DATA2_pF,DATA3_pF,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
206592,20.57039999961853,55.039198998361826,54.33740401657377,54.37137618457934,Infinity,Infinity,34151857,34141186,0,0,5.089023262262344,5.087433159351349,0,0,
206593,20.88729999959469,65.00350100174546,54.337095353666534,54.3691307656334,Infinity,Infinity,34151954,34141891,0,0,5.089037716388702,5.0875382125377655,0,0,
206594,11.750500999391079,50.06489999964833,54.33760448976766,54.36933778425412,Infinity,Infinity,34151794,34141826,0,0,5.089013874530792,5.0875285267829895,0,0,
206595,20.703100003302097,61.16650000214577,54.336532130191266,54.36862755607008,Infinity,Infinity,34152131,34142049,0,0,5.0890640914440155,5.087561756372452,0,0,
206596,16.03440099954605,62.08069999888539,54.335873456219105,54.36807021185966,Infinity,Infinity,34152338,34142224,0,0,5.089094936847687,5.087587833404541,0,0,
206597,20.58100000023842,70.12810000032187,54.330680851854375,54.36862755607008,Infinity,Infinity,34153970,34142049,0,0,5.08933812379837,5.087561756372452,0,0,
206598,20.695801001042128,67.38839999958873,54.32620155597923,54.37091753451158,Infinity,Infinity,34155378,34141330,0,0,5.08954793214798,5.087454617023468,0,0,
206599,16.070801001042128,62.11089999973774,54.287946519047495,54.36261506074186,Infinity,Infinity,34167410,34143937,0,0,5.0913408398628235,5.087843090295792,0,0,
206600,20.513399995863438,57.031799998134375,52.92290511584246,54.61390100639136,Infinity,Infinity,34605245,34065296,0,0,5.156583338975906,5.076124668121338,0,0,
206601,18.65869999676943,57.27100000157952,53.96227492262189,54.952174212963826,Infinity,Infinity,34270358,33960285,0,0,5.106681287288666,5.0604768097400665,0,0,
206602,20.661799997091293,61.94969999790192,53.79106093898781,54.96569456985821,Infinity,Infinity,34324855,33956108,0,0,5.114801973104477,5.0598543882369995,0,0,
206603,20.82599999755621,51.99249999970198,54.95409336604804,54.960307839843665,Infinity,Infinity,33959692,33957772,0,0,5.060388445854187,5.060102343559265,0,0,
206604,20.683998998254538,62.1059990003705,54.93043299192616,54.95590581202135,Infinity,Infinity,33967005,33959132,0,0,5.061478167772293,5.0603049993515015,0,0,
206605,20.874299999326468,59.80520100146532,54.93100547470093,54.9531127406971,Infinity,Infinity,33966828,33959995,0,0,5.06145179271698,5.060433596372604,0,0,
206606,20.730101000517607,62.05169999971986,54.93085345862815,54.95258845672337,Infinity,Infinity,33966875,33960157,0,0,5.061458796262741,5.060457736253738,0,0,
206607,20.901699002832174,62.39759900048375,54.93116072580956,54.95290237894216,Infinity,Infinity,33966780,33960060,0,0,5.061444640159607,5.06044328212738,0,0,
206608,20.475600000470877,61.950701002031565,54.93121571073504,54.953420194665604,Infinity,Infinity,33966763,33959900,0,0,5.061442106962204,5.06041944026947,0,0,
206609,20.51190000027418,62.23440000042319,54.93172675105056,54.95305772289071,Infinity,Infinity,33966605,33960012,0,0,5.061418563127518,5.060436129570007,0,0,
206610,18.276599999517202,51.86889899894595,54.932299254050776,54.95320983114525,Infinity,Infinity,33966428,33959965,0,0,5.061392188072205,5.060429126024246,0,0,
206611,20.70109999924898,67.37270100042224,54.9333828294269,54.9533166309354,Infinity,Infinity,33966093,33959932,0,0,5.061342269182205,5.060424208641052,0,0,
206612,20.659001000225544,62.21799999848008,54.93291704981409,54.953782670026825,Infinity,Infinity,33966237,33959788,0,0,5.061363726854324,5.060402750968933,0,0,
206613,20.530600998550653,62.11930000036955,54.93323080348539,54.9533684127639,Infinity,Infinity,33966140,33959916,0,0,5.061349272727966,5.060421824455261,0,0,
206614,20.84340100362897,62.37090000137687,54.93328579151904,54.953526995069005,Infinity,Infinity,33966123,33959867,0,0,5.061346739530563,5.060414522886276,0,0,
206615,20.647800002247095,62.012699998915195,54.9333828294269,54.95440082824625,Infinity,Infinity,33966093,33959597,0,0,5.061342269182205,5.060374289751053,0,0,
206616,20.632500000298023,62.17689999938011,54.933851849606306,54.954866881129796,Infinity,Infinity,33965948,33959453,0,0,5.061320662498474,5.060352832078934,0,0,
206617,18.503099996596575,67.47229999676347,54.93405886732034,54.955750455996,Infinity,Infinity,33965884,33959180,0,0,5.06131112575531,5.0603121519088745,0,0,
206618,20.698898997157812,62.15529900044203,54.934624937356894,54.95688651213611,Infinity,Infinity,33965709,33958829,0,0,5.061285048723221,5.060259848833084,0,0,
206619,20.583599999547005,62.24780100211501,54.93498722677209,54.95808410233218,Infinity,Infinity,33965597,33958459,0,0,5.061268359422684,5.060204714536667,0,0,
